Epoch,Step,Loss
1,0,8.8893
1,50,6.4711
1,100,7.6292
1,150,7.5636
1,200,6.5265
1,250,6.7991
1,300,6.2258
1,350,6.8000
1,400,6.2760
1,450,7.0047
1,500,4.8686
1,550,6.0348
1,600,5.0299
1,650,5.4504
1,700,5.8815
1,750,5.1972
1,800,4.6053
1,850,5.2039
1,900,5.3272
1,950,5.5642
1,1000,5.0719
1,1050,4.6998
1,1100,5.1722
1,1150,4.8676
1,1200,3.8296
1,1250,4.7264
1,1300,3.3127
1,1350,4.7721
1,1400,4.9512
1,1450,4.5916
1,1500,3.8489
1,1550,4.1069
1,1600,3.4528
1,1650,3.7165
1,1700,3.9213
1,1750,4.5002
1,1800,4.0014
1,1850,3.0726
1,1900,4.4450
1,1950,3.8332
1,2000,4.3546
1,2050,4.2783
1,2100,3.7298
1,2150,4.1874
1,2200,2.8309
1,2250,4.4099
1,2300,3.1844
1,2350,3.8851
1,2400,3.2210
1,2450,3.5276
1,2500,2.9875
1,2550,3.4838
1,2600,3.9655
1,2650,2.5691
1,2700,2.5123
1,2750,3.9785
1,2800,3.7409
1,2850,4.4413
1,2900,4.8924
1,2950,3.1956
1,3000,3.1868
1,3050,2.5189
1,3100,4.3039
1,3150,4.1934
1,3200,4.1129
1,3250,3.0101
1,3300,3.1961
1,3350,2.9887
1,3400,3.7789
1,3450,3.2200
1,3500,3.5256
1,3550,3.4262
1,3600,2.0340
1,3650,4.1072
1,3700,4.0995
1,3750,3.5731
1,3800,3.5826
1,3850,3.9677
1,3900,3.7451
1,3950,3.9235
1,4000,4.7162
1,4050,2.9820
1,4100,3.7450
1,4150,3.1599
2,0,4.0027
2,50,3.4043
2,100,3.7131
2,150,2.0330
2,200,2.8429
2,250,4.3218
2,300,3.8498
2,350,2.9404
2,400,2.3628
2,450,3.8107
2,500,2.5811
2,550,3.7078
2,600,1.9120
2,650,3.5660
2,700,3.2175
2,750,2.4719
2,800,3.2747
2,850,3.9820
2,900,3.5193
2,950,3.9100
2,1000,3.2880
2,1050,2.7614
2,1100,3.3727
2,1150,2.7729
2,1200,2.8388
2,1250,5.2510
2,1300,2.8539
2,1350,4.0464
2,1400,2.7117
2,1450,3.4157
2,1500,3.2687
2,1550,4.3318
2,1600,2.5773
2,1650,3.0383
2,1700,3.2726
2,1750,2.5428
2,1800,3.3926
2,1850,3.1919
2,1900,3.6078
2,1950,1.9449
2,2000,4.6466
2,2050,3.6901
2,2100,2.7515
2,2150,4.8080
2,2200,4.2551
2,2250,2.5604
2,2300,3.6266
2,2350,3.7325
2,2400,2.1234
2,2450,4.4820
2,2500,4.2236
2,2550,2.8083
2,2600,3.4460
2,2650,3.2925
2,2700,2.7703
2,2750,3.5411
2,2800,2.6829
2,2850,3.4895
2,2900,3.1724
2,2950,4.0018
2,3000,3.3314
2,3050,3.0492
2,3100,3.3081
2,3150,4.1732
2,3200,2.1598
2,3250,4.5642
2,3300,4.7168
2,3350,3.3848
2,3400,3.2314
2,3450,2.4147
2,3500,4.7175
2,3550,3.9832
2,3600,3.3247
2,3650,4.0700
2,3700,3.3040
2,3750,2.9667
2,3800,3.4446
2,3850,3.1289
2,3900,2.9514
2,3950,3.4118
2,4000,1.4624
2,4050,2.3588
2,4100,4.2766
2,4150,3.0228
